"Group","Variable","Units","Description"
"Aircraft States", "AMBIENT IN CLOUD", "bool", "True if the aircraft is in a cloud."
"Aircraft States", "CONTRAILS CONDITIONS MET", "bool", "True if the aircraft has met the conditions required to spawn the contrail VFX."
"Aircraft States", "IS SLEW ACTIVE", "bool", "True if slew is active"
"Aircraft States", "IS SLEW ALLOWED", "bool", "True if slew is enabled"
"Aircraft States", "IS USER SIM", "bool", "Is this the user loaded aircraft"
"Aircraft States", "ON ANY RUNWAY", "bool", "Whether or not the plane is currently on a runway."
"Aircraft States", "PLANE IN PARKING STATE", "bool", "Whether or not the plane is currently parked (true) or not (false)."
"Aircraft States", "SURFACE CONDITION", "enum", "The state of the surface directly under the aircraft."
"Aircraft States", "SURFACE INFO VALID", "bool", "True indicates that the SURFACE CONDITION return value is meaningful."
"Aircraft States", "SURFACE TYPE", "enum", "The type of surface under the aircraft."
"Aircraft States", "STRUCTURAL ICE PCT", "percent over 100", "Amount of ice on aircraft structure. 100 is fully iced."
"Aircraft States", "TOW CONNECTION", "bool", "True if a towline is connected to both tow plane and glider."
"Aircraft States", "WINDSHIELD RAIN EFFECT AVAILABLE", "bool", "Is visual effect available on this aircraft"
"Aircraft Position, Direction And Speed", "ACCELERATION BODY X", "feet per second squared", "Acceleration relative to aircraft axis, in east/west direction"
"Aircraft Position, Direction And Speed", "ACCELERATION BODY Y", "feet per second squared", "Acceleration relative to aircraft axis, in vertical direction"
"Aircraft Position, Direction And Speed", "ACCELERATION BODY Z", "feet per second squared", "Acceleration relative to aircraft axis, in north/south direction"
"Aircraft Position, Direction And Speed", "ACCELERATION WORLD X", "feet per second squared", "Acceleration relative to earth, in east/west direction"
"Aircraft Position, Direction And Speed", "ACCELERATION WORLD Y", "feet per second squared", "Acceleration relative to earth, in vertical direction"
"Aircraft Position, Direction And Speed", "ACCELERATION WORLD Z", "feet per second squared", "Acceleration relative to earth, in north/south direction"
"Aircraft Position, Direction And Speed", "SURFACE RELATIVE GROUND SPEED", "feet per second", "The speed of the aircraft relative to the speed of the first surface directly underneath it. Use this to retrieve, for example, an aircraft's taxiing speed while it is moving on a moving carrier. It also applies to airborne aircraft, for example when a helicopter is successfully hovering above a moving ship, this value should be zero. The returned value will be the same as GROUND VELOCITY if the first surface beneath it is not moving."
"Aircraft Position, Direction And Speed", "GROUND VELOCITY", "knots", "Speed relative to the earths surface"
"Aircraft Position, Direction And Speed", "PLANE ALTITUDE", "feet", "Altitude of aircraft"
"Aircraft Position, Direction And Speed", "PLANE ALT ABOVE GROUND", "feet", "Altitude above the surface"
"Aircraft Position, Direction And Speed", "PLANE ALT ABOVE GROUND MINUS CG", "feet", "Altitude above the surface minus CG"
"Aircraft Position, Direction And Speed", "PLANE BANK DEGREES", "radians", "Bank angle, although the name mentions degrees the units used are radians"
"Aircraft Position, Direction And Speed", "PLANE HEADING DEGREES GYRO", "degrees", "Heading indicator taken from the aircraft gyro."
"Aircraft Position, Direction And Speed", "PLANE HEADING DEGREES MAGNETIC", "radians", "Heading relative to magnetic north - although the name mentions degrees the units used are radians"
"Aircraft Position, Direction And Speed", "PLANE HEADING DEGREES TRUE", "radians", "Heading relative to true north - although the name mentions degrees the units used are radians"
"Aircraft Position, Direction And Speed", "PLANE LATITUDE", "radians", "Latitude of aircraft, North is positive, South negative"
"Aircraft Position, Direction And Speed", "PLANE LONGITUDE", "radians", "Longitude of aircraft, East is positive, West negative"
"Aircraft Position, Direction And Speed", "PLANE PITCH DEGREES", "radians", "Pitch angle, although the name mentions degrees the units used are radians"
